부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Upper,궤양성대장염,ulcerative colitis,설사,혈변,복통,식욕부진,체중감소,피로,,,,,,"장기간에 거쳐 반복되는 질환이며, 염증과 궤양이 대장에서만 생깁니다.","보리, 양배추, 등푸른생선, 요구르트","콩, 야채, 절인 채소, 오렌지, 레몬,설탕, 커피"
Upper,위암,gastric adenocarcinoma,소화불량,속쓰림,오심,구토,식욕부진,체중감소,토혈,복통,,,,"위의 안쪽 면을 싸고 있는 위점막에서 시작되어 점막층 아래에 있는 점막하층, 근육층 및 가장 바깥 면을 싸고 있는 장막층으로 파고들어가 자라며 심하면 위벽을 뚫고 주위에 있는 간, 췌장, 비장 등에까지 침범하는 병입니다.",골고루 천천히 식사하기,"매운 음식, 짠 음식, 튀긴 음식"
Upper,대장암,colorectal cancer,혈변,점액변,설사,변비,복통,배변습관의 변화,변을 보고도 시원하지 않음,복부 불편감,,,,결장과 직장에 생기는 악성 종양을 대장암이라고 합니다.,식이섬유소,"적색육(소고기나 돼지고기), 가공육(햄이나 소시지), 음주"
Upper,췌장암,pancreatic cancer,복통,체중감소,황달,지방변,회색변,구토,오심,소화불량,,,,"췌장은 음식물의 소화를 위한 소화효소와 인슐린과 같은 호르몬을 분비하는 장기로 위장의 뒤에 위치하며 약 20cm의 기다란 구조를 가지고 있습니다. 췌장은 크게 머리부분, 몸통부분, 꼬리부분으로 나뉩니다. 이와 같은 췌장에 발생한 암을 췌장암이라고 하는데 췌장의 머리부분에 흔히 발생합니다","콩, 과일, 브로콜리, 시금치, 마늘","적색육(소고기나 돼지고기), 가공육(햄이나 소시지), 음주, 흡연"
Upper,간경변,liver cirrhosis,소화불량,식욕부진,구토,메스꺼움,복통,황달,,,,,,정상적인 간세포가 죽고 흉터가 늘어가는 만성 간질환을 통틀어 일컫습니다. 쉽게 말하면 간 전체에 흉터가 생겨서 딱딱해진 것입니다.,"단백질, 과일, 채소, 비타민K, 다슬기","짠 음식, 카페인"
Upper,담석,cholelithiasis,복통,황달,발열,위경련,구토,오한,,,,,,담낭(쓸개) 안에 생긴 작은 돌 같은 물질을 담석이라고 합니다. 담석은 담즙 내 구성 성분이 담낭이나 담관 내에서 응결 및 침착되어 형성된 결정성 구조물을 말합니다.,"매실, 연근, 바지락, 고구마",기름진 음식
Upper,지방간,fatty liver,피로,복통,,,,,,,,,,간 안에 지나치게 많은 지방이 쌓여서 생깁니다. 일반적으로 지방이 간 무게의 5% 이상 쌓이면 지방간으로 진단합니다.,"고단백음식, 채소, 해조류, 잡곡","기름진 음식, 음주"
Upper,A형간염,hepatitis A,피로,구토,메스꺼움,식욕부진,발열,복통,황달,전신 가려움,,,,간염 바이러스의 한 종류인 A형 간염 바이러스에 의해 발생하는 간염으로 주로 급성간염의 형태로 나타난다.,"고단백음식, 생선, 달걀, 두부, 콩, 유제품","기름진 음식, 인스턴트식품, 음주"
Upper,"B형, C형간염","hepatitis B,C",피로,식욕부진,구토,구역,근육통,미열,황달,,,,,간염 바이러스의 한 종류인 B형 간염 바이러스 또는 C형 간염 바이러스에 의해 발생하는 간염입니다.,"고단백음식, 호박, 복분자, 부추, 재첩, 헛개나무, 결명자","기름진 음식, 음주"
Upper,식중독,food poisoning,구역,구토,설사,복통,발열,,,,,,,"병원균을 비롯해 미생물 독소, 화학물질 및 기타 독성물질에 오염된 음식을 먹은 뒤 발생하는 질병을 말합니다.","매실, 수수, 팥, 녹차","찬 음식, 유제품, 날 음식"
Upper,장염,gastroenteritis,구역,구토,설사,복통,발열,,,,,,,"장염은 전 세계적으로 급성상기도염 다음으로 흔한 질환입니다. 약간의 복부 불쾌감에서부터 사망에 이르는 중한 장염까지 여러가지 임상을 나타내며, 그 원인과 발생양상도 매우 다양합니다.","매실, 수수, 팥, 녹차","찬 음식, 유제품, 날 음식"
Upper,감기,common colde,콧물,코막힘,인후통,기침,근육통,미열,,,,,,"성인은 평균적으로 연간 2~3회 감기에 걸리게 되고 소아는 6~8회 걸리게 됩니다. 감기(급성비인두염, Common cold)는 바이러스를 포함한 여러 병원체에 의한 급성 윗숨길(상기도) 감염이며 직장의 결근 및 학교의 결석 등 사회생활과 일상생활에 지장을 주는 매우 흔한 질병이고, 연간 2조원이 넘는 의료비 증가의 주요 원인이 됩니다. ","마늘, 부추, 강황, 계피, 생강, 꿀","비타민C가 풍부한 음료, 커피"
Upper,만성폐색성폐질환,chronic obstructive pulmonary disease,기침,가래,호흡곤란,,,,,,,,,"단일 질환을 의미하는 말이 아니며, 폐기능상 폐색장애를 나타내며 가끔 상호 합병해서 임상적인 감별진단이 어려운 경우가 있는 기관지천식, 만성기관지염, 기관지 확장증, 폐기종의 4가지 질환을 포함한 총괄적인 질환군의 호칭.",없음,없음
Upper,비염,rhinitis,콧물,코막힘,화농성 고름,후비루,재채기,후각소실,후각감퇴,,,,,일반적으로 만성적으로 생기는 비강내의 염증을 만성비염이라고 하는데 이는 정확한 의학용어는 아니며 여러 종류의 비염들을 포괄해서 일컫는 용어라 할 수 있습니다.,"대추, 딸기, 녹황색 채소","유제품, 찬 음식, 인스턴트"
Upper,인플루엔자,influenza,발열,두통,근육통,기침,인후통,,,,,,,"독감은 인플루엔자 바이러스에 의한 급성 호흡기 질환이다. 독감은 상부 호흡기계(코, 목)나 하부 호흡기계(폐)를 침범하며 갑작스런 고열, 두통, 근육통, 전신 쇠약감과 같은 전반적인 신체 증상을 동반한다.",홍삼,없음
Upper,폐렴,pneumonia,호흡곤란,기침,가래,,,,,,,,,폐렴은 세균이나 박테리아 침입으로 발생합니다. 염증으로 인해 염증 분비물과 백혈구가 공기 주머니에 쌓여 산소가 혈액 안으로 들어오지 못해 숨 쉬기가 어렵게 됩니다. 예전에는 폐렴으로 죽는 사람들이 많았으나 항생제 덕분으로 완치 가능한 질병이 됐습니다. 폐렴은 세균이나 박테리아 침입으로 발생합니다. 염증으로 인해 염증 분비물과 백혈구가 공기 주머니에 쌓여 산소가 혈액 안으로 들어오지 못해 숨 쉬기가 어렵게 됩니다. 예전에는 폐렴으로 죽는 사람들이 많았으나 항생제 덕분으로 완치 가능한 질병이 됐습니다.,"무, 더덕, 도라지, 마늘, 양파, 귤, 복숭아, 매실, 모과","육식, 인삼차, 담배"
Upper,심근경색증,myocardial infarction,흉통,호흡곤란,실신,,,,,,,,,심장의 근육(심근)에 혈액을 공급하는 심장동맥(관상동맥)이 여러 가지 원인으로 막혀 심장 근육이 죽는 질병입니다.,"등푸른 생선, 채소와 과일","기름기가 많은 고기(삼겹살, 닭껍질, 조개류)와 튀김, 기름기 많은 국, 탕, 계란 노른자"
Upper,결핵,tuberculosis,발열,쇠약감,식욕부진,체중감소,기침,호흡곤란,흉통,,,,,만성 소모성 질병입니다. 치료하지 않으면 사망할 수도 있습니다. 폐결핵은 치료가 되더라도 후유증을 남겨 만성적인 호흡 곤란을 일으키기도 합니다.,하루 세끼를 골고루 섭취해야 합니다.,"맵고 짜고 자극이 강한 음식, 인스턴트 음식"
Whole,골절,fracture,압통,부종,변형,쇼크,,,,,,,,외부의 충격으로 뼈가 부러지는 것입니다.,"표고버섯, 검은콩, 견과류, 미역, 자두, 사골, 우유, 멸치, 시금치, 계란","탄산음료를 비롯한 산성도가 높은 음료, 나트륨이 많이 들어간 짠 음식, 커피, 패스트푸드, 인스턴트음식, 알코올과 흡연"
Whole,관절염,arthritis,관절통,피로,운동제한,부위 이상음,,,,,,,,관절염은 여러 가지 원인에 의해 관절에 염증이 생긴 것입니다.,"비타민 A와 C, E, K등이 들어간 물냉이, 콩류, 통곡물, 참치, 청어, 조개 등등, 오메가-3가 풍부한 연어나 정어리, 우슬",
Whole,류마티스관절염,rheumatoid arthritis,관절통,관절종창,피로,식욕부진,빈혈,체중감소,쇠약감,,,,,류마티스관절염은 관절의 활막에 생기는 만성염증을 특징으로 하는 만성염증성 질환입니다.,"항염 효능이 있는 생선, 홍삼, 불포화지방산이 풍부한 등푸른 생선, 베타카로틴이 풍부한 녹황생채소와 과일, 비타민C가 풍부한 채소와 과일, 셀레늄이 풍부한 음식, 비타민E가 풍부한 음식","술과 담배, 패스트푸드, 가공음식, 밀가루가 많음음식, 차가운 아이스크림이나 음료, 커피"
Whole,발목염좌,ankle sprain,압통,종창,부종,파열음,발목통증,,,,,,,발목염좌는 흔한 손상 중 하나로 발목이 심하게 꼬이거나 접질렸을 때?발목관절을 지탱하는?인대들이 손상을 입어 발생합니다.,"비타민 A와 C, E, K등이 들어간 물냉이, 콩류, 통곡물, 참치, 청어, 조개 등등, 오메가-3가 풍부한 연어나 정어리, 우슬",
Whole,오십견,frozen shoulder,어깨통증,야간통증,운동제한,,,,,,,,,보통?40~50대에 잘 생기기 때문에 일반적으로 오십견으로 불립니다. 어깨가 아프면서 굳어지는 증세를 보입니다. 이는 어깨운동을 점차 감소시키고 때로는 완전히 굳게 하기도 합니다.,"고추, 엄나무껍질, 토마토, 멸치, 등푸른생선, 홍어, 치즈, 족발, 오징어, 해삼","설탕이 들어간 달콤한것, 술, 기름진 음식, 커피, 홍차, 녹차등의 카페인, 짠음식"
Whole,일자목증후군,forward head posture,턱 이상음,걸음 장애,목주름,피로,손저림,근육통,,,,,,‘일자목증후군’이란 앞으로 목을 길게 빼는 자세 때문에 정상적인 경추 만곡인?'C'자 형태의 경추 정렬이 소실되어 생기는 증상들을 말한다.,"비타민 C가 넉넉하게 첨가되어있는 오렌지나 파인애플, 브로콜리 등, 통증을 가라앉히는 고춧잎, 뼈를 단단하게 만들어주는 칼슘과 리놀산, 유기백금 물질이 풍부하게 함유되어있는 홍화씨, 세로토닌 성분과 뼈를 견고히 해주는 캄슘이 포함된 우유","카페인이 많음 음료, 나트륨이 많이 들어간 음식, 술"
Whole,경추디스크,cervical spinal disc,후경부 통증,상지통증,상지약화,사지마비,,,,,,,,경추?디스크란 목 쪽?척추인 경추와 경추 사이에 있는?추간판(디스크) 사이로 내부의 수핵이 빠져 나와서 신경근 또는?척수를 누르는 질환이다.,"비타민 C가 넉넉하게 첨가되어있는 오렌지나 파인애플, 브로콜리 등, 통증을 가라앉히는 고춧잎, 뼈를 단단하게 만들어주는 칼슘과 리놀산, 유기백금 물질이 풍부하게 함유되어있는 홍화씨, 세로토닌 성분과 뼈를 견고히 해주는 캄슘이 포함된 우유","카페인이 많음 음료, 나트륨이 많이 들어간 음식, 술"
Whole,대동맥류,aortic aneurvsm,흉통,요통,얼굴부위 통증,기침,호흡곤란,쉰목소리,삼킴힘듬,,,,,"대동맥이 비정상적으로 부풀어 오른 상태입니다.?동맥경화가 주된 원인이며 고령이거나 고혈압 병력이 있는 사람,?대동맥류의 가족력이 있거나 흡연,?심장질환 등이 주요 위험인자입니다.","등푸른생선, 견과류, 들기름 등을 통한 오메가-3가 들어있는 음식, 올리브유, 카놀라유, 마늘, 양파, 비타민과 무기질이 많은 채소와 과일 그리고 콩류","지방이 많거나 콜레스테롤이 많은 음식, 자극적이고 맵거나 나트륨이 많은 음식, 너무 짜거나 너무 단 음식, 기름에 튀기거나 기름이 많은 음식, 인스턴트식품이나 조미료, 화학성분이 많은 음식"
Whole,폭염,heat wave,두통,경련,현기증,체온 증가,무기력함,,,,,,,폭염(暴炎)은 매우 심한 더위를 뜻하는 한자어이다.,"아침을 꼭 먹는다, 몸의 수분을 유지한다, 섬유질과 단백질 위주의 점심을 먹는다, 기력회복에 좋은 홍삼, 수분이 많은 과일, 오미자",없음
Whole,화상,burns,피부발적,물집,흉터,,,,,,,,,화상은 몸뿐만 아니라 마음에도 치명적인 상처를 남깁니다.?생명에 대한 위험도 심각합니다.?화상은 열에 의해 피부세포가 손상을 입는 현상을 말합니다.,"알로에, 토마토, 감자, 달걀, 딸기, 녹차, 묽은 소금물을 만들어 환부를 담그기, 꿀, 오이와 가지, 파프리카, 호박, 당근, 수박, 물",없음
Whole,루푸스,systemic lupus erythematosus,뺨의 발진,원판상 발진,광과민성,구강궤양,관절염,장막염,신경질환,혈액질환,,,,자가면역성 질환의 일종으로 우리 몸에 만성 염증을 일으키는 질병입니다.,"체내 항산화를 돕고, 염증완화에도 좋은 호박, 생강, 마늘, 라이코펜이 풍부한 토마토, 몸속 노폐물의 원활한 배출과 신장건강에 도움을 주는 양파, 미나리, 부추와 김, 톳, 다시마 등의 해조류, 불포화지방산이 풍부한 호두, 땅콩, 등푸른생선",없음
Whole,ADHD,ADHD,산만함,과잉행동,집중력부족,행동장애,,,,,,,,"주의력 결핍/과잉행동 장애(Attention?Deficit/Hyperactivity?Disorder,?ADHD)는 아동기에 많이 나타나는 장애로, 지속적으로 주의력이 부족하여 산만하고 과다활동, 충동성을 보이는 상태를 말한다.","비타민 C가 풍부한 아스파라거스, 오렌지 등, 향산화 물질이 포함된 홍삼, 아보카도, 참치, 블루베리 등, 참치, 달걀, 시금치, 견과류","첨가물이 많은 가공식품, 탄산음료, 설탕이 많이 들거나 정체된 음식, 실리실산염이 많이 든 식품, 식품알레르기를 유발하는 식품"
Whole,거식증,anorexia nervosa,부적절한 식이행동,폭식,자발적 구토,체중감소,저체온증,무월경,부종,저혈압,,,,"신경성 식욕부진증은 대표적인 섭식장애의 하나로, 살을 빼려는 지속적인 행동,?체중 감소, 음식과 체중과 연관된 부적절한 집착, 음식을 다루는 기이한 행동, 살이 찌는 것에 대한 강한 두려움 그리고?무월경?등을 주요 특징으로 하는 질환이다.",저지방식사,없음
Whole,폭식증,bulimia nervosa,폭식,구토,지나친 체중 감량 욕구,우울감,,,,,,,,"많은 양의 음식을 빠른 속도로 먹어 치우고,?배가 부름에도 먹는 것을 멈출 수 없는 식사 조절력의 상실감입니다.?이것이 일반적인 과식과는 다른 가장 큰 특징입니다","율무, 생강, 진피차",없음
Whole,동상,frostbite,홍반,물집,,,,,,,,,,동상이란 추운 환경에 노출된 신체 부위가 생리적인 대응 작용이 실패해 조직에 손상이 발생하는 것을 말합니다.,고단백음식,"음주, 흡연"
Whole,공황장애,panic disorder,공황발작,광장 공포증,빈맥,심계항진,호흡곤란,오한,,,,,,"불안장애의 일종으로,?심한 불안 발작과 함께 이상 증상들이 갑자기 나타나는 질병입니다.",없음,"카페인, 탄산음료, 흡연"
Whole,불면증,insomnia,수면 시작 및 유지의 어려움,원기 회복되지 않는 수면,불면,,,,,,,,,"불면증에 걸리면 수면의 양이나 질에 문제가 생깁니다.?잠드는 데?30분 이상 걸리거나,?하룻밤에 자다 깨다 하는 일이 다섯 번 이상이거나,?이른 새벽에 잠에서 깨어 다시 잠을 이루지 못하는 횟수가 일주일에?2~3회 이상이거나,?깊은 수면에 이르지 못해 자도 잔 것 같지 않다면 병적인 불면증이 있다고 할 수 있습니다.","저지방우유, 바나나, 등푸른생선","카페인, 음주, 흡연"
Whole,알코올중독,alcohol intoxication,폭음,기억장애,금단증상,금주,,,,,,,,술을 늘 대중없이 많이 마시는 사람을 가리키는 순우리말이?‘모주망태’입니다.?술 때문에 늘 문제를 일으키면서도 술을 끊을 수가 없는 모주망태의 병이 알코올 중독이지요.?정신의학에서는 알코올 중독이라는 용어를 쓰지 않고 알코올 남용(Abuse)과 알코올 의존(Dependence)으로 구분해 부릅니다.,"우유, 김, 현미, 계란, 잣, 아몬드",음주
Whole,외상 후 스트레스장애,post traumatic stress disorder,충격적인 사건의 재경험,불안장애,공황발작,,,,,,,,,"외상후 스트레스장애(또는?PTSD, Posttraumatic Stress Disorder)란 생명을 위협할 정도의 극심한 스트레스(정신적 외상)를 경험하고 나서 발생하는 심리적 반응입니다. ‘정신적 외상’이란 충격적이거나 두려운 사건을 당하거나 목격하는 것을 말합니다.?이러한 외상들은 대부분 갑작스럽게 일어나며 경험하는 사람에게 심한 고통을 주고 일반적인 스트레스 대응 능력을 압도합니다.?",없음,없음
Whole,우울증,depressive disorder,우울감,자살 사고,의욕상실,무기력함,피로,수면 장애,성기능 장애,집중력저하,식욕부진,,,사람은 누구나 우울할 때가 있습니다.?슬픈 일을 당했을 때 일시적으로 우울해지는 것은 자연스러운 현상입니다.?우울증은 이런 자연스러운 기분을 말하는 것이 아닙니다.?심각하게 의욕이 떨어지고 기분이 우울한 상태가 오랫동안 지속돼 삶에 커다란 지장을 주는 병을 말합니다.?,"연어, 감자, 양배추, 대추, 녹색채소, 등푸른생선","육류, 커피"
Whole,자폐증,autism,사회적 상호작용 결여,의사소통 문제,상동증,,,,,,,,,"대인관계나 사회성 발달의 심한 장애,?언어 및 의사소통의 심한 장애,?상동성(목적 없이 어떤 것을 반복해서 하는 특성)및 특이한 행동의 반복 등이 특징적 증상입니다. 3세 이전에 병이 생겨 평생 지속되는 뇌 질환입니다.",균형잡힌식사,없음
Whole,조울증,bipolar disorder,기분의 고양,환각,망상,팽창된 자존심,수면부족,사고의비약,,,,,,"기분 조절에 문제가 생긴 질병으로,?양극성기분장애(Bipolar disorder)라고도 합니다.?기분이 들뜨고 몹시 좋아 일상생활이나 직업 생활에 지장을 일으키는 상태(조증)와 이와는 반대로 기분이 저하되는 우울증이 기간을 두고 번갈아 나타나거나 조증 상태만 주기적으로 나타나는 정신병을 말합니다.?초기에는 우울증 삽화만 있다가 후반기에 조증이 나타나는 조울증은 우울증과 감별하기 어려운 때도 많습니다.?","감자, 호두, 시금치, 우유","자극적인 음식, 고지방식사, 음주, 카페인"
Whole,치매,dementia,기억장애,언어장애,판단장애,두통,뇌손상,,,,,,,"정상적으로 활동하던 사람이 다양한 원인에 의해 뇌의 인지 기능이 손상되면서 일상생활에 장애를 겪는 증상입니다.?인지 기능이란 기억력,?언어 능력,?시공간 파악 능력,?판단력,?추상적 사고력 등 다양한 지적 능력을 가리키는 말입니다.","석류, 잣, 등푸른생선, 우유, 양파, 현미, 강황","육류, 커피, 인스턴트식품, 탄산음료"
Whole,미숙아,preterm infant,뇌출혈,허혈성 뇌손상,호흡곤란,수유부족,무호흡,실명,,,,,,태 안에 있는 기간이?37주 미만이거나 최종 월경일에서?259일 미만에 태어난 아기를 말합니다.,모유,없음
Whole,접촉피부염,contact dermatitis,홍반,부종,습진,,,,,,,,,"접촉피부염은 피부에 자극을 줄 수 있는 화학물질이나 물리적 자극물질에 일정한 농도 이상과 일정한 시간 이상의 노출을 주면 모든 사람에게 일어날 수 있는 피부염을 말합니다.?심한 자극물질은 짧은 노출에 의해서도 심한 반응을 일으킬 수 있으나,?대부분의 자극피부염은 하나 또는 여러 자극물질에 반복적으로 장시간 노출되어 발생합니다.?","녹황색 야채, 브로콜리, 케일, 김, 미역, 다시마, 올리브유","인스턴트음식, 패스트푸드, 밀가루음식, 커피, 음주"
Whole,빈혈,anemia,현기증,피로,쇠약감,두통,어지럼증,식욕부진,,,,,,"빈혈은 원인에 따라 다양한 종류가 있을 수 있으며, 일시적일 수도 장기간 있을 수도 있습니다. 또한 경증에서부터 중증까지 다양한 증상으로 나타날 수 있습니다. 빈혈은 흔한 혈액학적 이상이지만 특히 여성과 만성 질환을 가진 사람들에서 발생 가능성이 높습니다. 만약 빈혈이 의심되면 병원에 가서 상담을 받는 것이 좋습니다. 왜냐하면 빈혈은 심각한 질병의 한 징후일 수 있기 때문입니다. 빈혈의 치료는 철분 보충제를 복용하는 것에서부터 의료시술을 받는 것까지 다양하지만 건강하고 다양한 음식을 섭취함으로써 몇 가지 종류의 빈혈은 미리 예방할 수 있습니다.","시금치, 연근, 파슬리, 연어","녹차, 홍차, 커피"
Whole,고혈압,hypertension,두통,어지러움,코피,,,,,,,,,"고혈압이란 성인의 수축기 혈압이?140mmHg?이상이거나 이완기 혈압이?90mmHg?이상일 때를 말합니다.?고혈압은 우리나라 성인의?30%?이상에서 발견되는 아주 흔한 질환이며,?외국(27%?정도)보다 높은 유병률을 보이고 있습니다.?고혈압은 관상동맥질환과 뇌졸중,?신부전 등 온몸에 걸쳐 다양한 합병증을 일으킵니다.?이 중 상당수는 환자의 생명과 건강을 직접 위협할 정도로 심각한 문제를 발생시킵니다.?그러나 일반적으로 고혈압은 증상이 없으므로 혈압을 측정해 보기 전까지는 진단이 되지 않고,?진단이 되더라도 환자 자신이 치료의 필요성을 느끼지 못하는 경우가 대부분입니다.","과일과 야채, 저지방 유제품, 단백질이 많고 지방이 적은 생선","짠 음식, 포화 지방이 많은 음식, 고 콜레스테롤 음식"
Whole,뇌졸중,stroke,두통,구토,반신마비,실어증,발음장애,안면신경장애,운동실조,,,,,뇌졸중은 뇌혈관의 문제로 인해 뇌에 발생하는 병입니다.?뇌에 산소와 영양분을 공급하는 역할을 하는 뇌혈관이 막히거나 터졌을 때 뇌졸중이 발생합니다.?이 가운데 뇌혈관이 막히는 것을 허혈성 뇌졸중 또는 뇌경색이라고 합니다.?,"채소와 과일, 식초","짠 음식, 인스턴트 식품, 달걀 노른자, 오징어, 마요네즈, 젓갈류"
Whole,정맥부전,venous insufficiency,다리부종,다리가피곤,잦은 쥐,,,,,,,,,"하지정맥에 자주 발생하고 이로 인하여 하지정맥의 혈행이 장애를 받으면 정맥의 노장(怒張), 부종, 색소침착이 생기고 습진, 궤양을 일으키기 쉽게 된다. 이 상태를 정맥부전이라고 한다.",없음,없음
Whole,기면증,narcolepsy,졸도발작,수면마비,주간 수면과다,입면기 환각,각성기 환각,,,,,,,"기면증은 낮 시간에 과도하게 졸립고?REM?수면의 비정상적인 발현, 즉 잠이 들 때(입면,?hypnagogic)나 깰 때(각성) 환각, 수면?마비, 수면 발작 등의 증상을 보이는?신경정신과 질환이다.","키위, 대추, 메밀",없음
Whole,백혈병,leukemia,발열,코피,어지럼증,두통,호흡곤란,피로,설사,의식저하,,,,"백혈병이란 혈액 세포 중 백혈구에 발생한 암으로서, 비정상적인 백혈구(백혈병 세포)가 과도하게 증식하여 정상적인 백혈구와 적혈구, 혈소판의 생성이 억제된다. 정상적인 백혈구 수가 감소하면?면역저하를 일으켜 세균감염에 의한?패혈증을 일으킬 수 있고, 적혈구의 감소는?빈혈?증상(어지러움,?두통, 호흡곤란)을 가져오며, 혈소판의 감소는?출혈?경향을 일으킨다. 또한, 과다 증식된 백혈병 세포 자체로 인하여 고열,?피로감, 뼈의?통증,?설사, 의식저하, 호흡곤란, 출혈 경향도 일으킬 수 있다. 백혈병 환자는 치료 받지 않을 시, 이러한 증상들에 의해 생명이 위험해 진다.","마늘, 버섯, 양파는 백혈구 수치를 높여준다","날 음식, 건어물, 젓갈류, 무말랭이, 오이피클, 유제품"
Whole,피부암,skin cancer,피부결절,피부궤양,피부반점,,,,,,,,,"피부종양은 악성 종양(피부암)과 양성 종양으로 구분할 수 있습니다.?악성은 아니지만 시간이 지나면 피부암으로 변하는 종양도 있습니다.?최근 오존층 파괴로 인한 자외선 노출 증가,?평균 수명 연장 등으로 피부암의 발생 빈도가 점차 증가하고 있습니다.?피부암은 조기에 치료하면 대부분 완치가 가능합니다.?그러나 치료 시기를 놓치면 신체의 다른 부위로 전이할 수 있으므로 의심되는 병변이 있으면 반드시 피부 조직검사로 확인해야 합니다.",없음,없음
Whole,손발입병,hand foot and mouth disease,미열,손발발진,입안 수포,구강궤양,,,,,,,,"아이들이 바이러스에 감염돼 손(手),?발(足),?입(口)에 물집이 생기는 병으로?‘수족구병’으로 알려져 있습니다.?주로 초여름부터 가을까지 유행합니다.?입안의 혀와 혀 점막에 물집이 생기거나 헐고 손과 발에 물집이 생기므로 대부분 눈으로 쉽게 확인할 수 있습니다.?이따금 손과 발의 물집이 썩 많지 않거나 피부가 불그스레하게만 변하면 모르고 지나치기도 합니다.","차가운 물, 우유, 부드러운 음식","탄산 음료, 과실 음료, 단단한 음식"
Whole,옴,scabies,전신 가려움,물집,고름,,,,,,,,,"옴 진드기(Scabies mite)에 걸려서 생기는 피부병입니다.?환자와 접촉하면 쉽게 전염됩니다.?요즘에는 치료가 가능하지만,?옛날에는 한 번 전염되면 잘 낫지 않으면서 가려움 때문에 환자를 거의 미치게 만들기 때문에?‘재수 옴 붙었다’는 속담까지 낳았습니다.",없음,없음
