부위,한글,질병,증상1,증상2,증상3,증상4,증상5,증상6,증상7,증상8,증상9,증상10,증상11,간단한설명,좋은음식,꺼려야할음식
Whole,불면증,insomnia,수면 시작 및 유지의 어려움,원기 회복되지 않는 수면,불면,,,,,,,,,"불면증에 걸리면 수면의 양이나 질에 문제가 생깁니다.?잠드는 데?30분 이상 걸리거나,?하룻밤에 자다 깨다 하는 일이 다섯 번 이상이거나,?이른 새벽에 잠에서 깨어 다시 잠을 이루지 못하는 횟수가 일주일에?2~3회 이상이거나,?깊은 수면에 이르지 못해 자도 잔 것 같지 않다면 병적인 불면증이 있다고 할 수 있습니다.","저지방우유, 바나나, 등푸른생선","카페인, 음주, 흡연"
Whole,알코올중독,alcohol intoxication,폭음,기억장애,금단증상,금주,,,,,,,,술을 늘 대중없이 많이 마시는 사람을 가리키는 순우리말이?‘모주망태’입니다.?술 때문에 늘 문제를 일으키면서도 술을 끊을 수가 없는 모주망태의 병이 알코올 중독이지요.?정신의학에서는 알코올 중독이라는 용어를 쓰지 않고 알코올 남용(Abuse)과 알코올 의존(Dependence)으로 구분해 부릅니다.,"우유, 김, 현미, 계란, 잣, 아몬드",음주
Whole,외상 후 스트레스장애,post traumatic stress disorder,충격적인 사건의 재경험,불안장애,공황발작,,,,,,,,,"외상후 스트레스장애(또는?PTSD, Posttraumatic Stress Disorder)란 생명을 위협할 정도의 극심한 스트레스(정신적 외상)를 경험하고 나서 발생하는 심리적 반응입니다. ‘정신적 외상’이란 충격적이거나 두려운 사건을 당하거나 목격하는 것을 말합니다.?이러한 외상들은 대부분 갑작스럽게 일어나며 경험하는 사람에게 심한 고통을 주고 일반적인 스트레스 대응 능력을 압도합니다.?",없음,없음
Whole,우울증,depressive disorder,우울감,자살 사고,의욕상실,무기력함,피로,수면 장애,성기능 장애,집중력저하,식욕부진,,,사람은 누구나 우울할 때가 있습니다.?슬픈 일을 당했을 때 일시적으로 우울해지는 것은 자연스러운 현상입니다.?우울증은 이런 자연스러운 기분을 말하는 것이 아닙니다.?심각하게 의욕이 떨어지고 기분이 우울한 상태가 오랫동안 지속돼 삶에 커다란 지장을 주는 병을 말합니다.?,"연어, 감자, 양배추, 대추, 녹색채소, 등푸른생선","육류, 커피"
Whole,자폐증,autism,사회적 상호작용 결여,의사소통 문제,상동증,,,,,,,,,"대인관계나 사회성 발달의 심한 장애,?언어 및 의사소통의 심한 장애,?상동성(목적 없이 어떤 것을 반복해서 하는 특성)및 특이한 행동의 반복 등이 특징적 증상입니다. 3세 이전에 병이 생겨 평생 지속되는 뇌 질환입니다.",균형잡힌식사,없음
Whole,조울증,bipolar disorder,기분의 고양,환각,망상,팽창된 자존심,수면부족,사고의비약,,,,,,"기분 조절에 문제가 생긴 질병으로,?양극성기분장애(Bipolar disorder)라고도 합니다.?기분이 들뜨고 몹시 좋아 일상생활이나 직업 생활에 지장을 일으키는 상태(조증)와 이와는 반대로 기분이 저하되는 우울증이 기간을 두고 번갈아 나타나거나 조증 상태만 주기적으로 나타나는 정신병을 말합니다.?초기에는 우울증 삽화만 있다가 후반기에 조증이 나타나는 조울증은 우울증과 감별하기 어려운 때도 많습니다.?","감자, 호두, 시금치, 우유","자극적인 음식, 고지방식사, 음주, 카페인"
Whole,치매,dementia,기억장애,언어장애,판단장애,두통,뇌손상,,,,,,,"정상적으로 활동하던 사람이 다양한 원인에 의해 뇌의 인지 기능이 손상되면서 일상생활에 장애를 겪는 증상입니다.?인지 기능이란 기억력,?언어 능력,?시공간 파악 능력,?판단력,?추상적 사고력 등 다양한 지적 능력을 가리키는 말입니다.","석류, 잣, 등푸른생선, 우유, 양파, 현미, 강황","육류, 커피, 인스턴트식품, 탄산음료"
Whole,미숙아,preterm infant,뇌출혈,허혈성 뇌손상,호흡곤란,수유부족,무호흡,실명,,,,,,태 안에 있는 기간이?37주 미만이거나 최종 월경일에서?259일 미만에 태어난 아기를 말합니다.,모유,없음
Whole,접촉피부염,contact dermatitis,홍반,부종,습진,,,,,,,,,"접촉피부염은 피부에 자극을 줄 수 있는 화학물질이나 물리적 자극물질에 일정한 농도 이상과 일정한 시간 이상의 노출을 주면 모든 사람에게 일어날 수 있는 피부염을 말합니다.?심한 자극물질은 짧은 노출에 의해서도 심한 반응을 일으킬 수 있으나,?대부분의 자극피부염은 하나 또는 여러 자극물질에 반복적으로 장시간 노출되어 발생합니다.?","녹황색 야채, 브로콜리, 케일, 김, 미역, 다시마, 올리브유","인스턴트음식, 패스트푸드, 밀가루음식, 커피, 음주"
Whole,빈혈,anemia,현기증,피로,쇠약감,두통,어지럼증,식욕부진,,,,,,"빈혈은 원인에 따라 다양한 종류가 있을 수 있으며, 일시적일 수도 장기간 있을 수도 있습니다. 또한 경증에서부터 중증까지 다양한 증상으로 나타날 수 있습니다. 빈혈은 흔한 혈액학적 이상이지만 특히 여성과 만성 질환을 가진 사람들에서 발생 가능성이 높습니다. 만약 빈혈이 의심되면 병원에 가서 상담을 받는 것이 좋습니다. 왜냐하면 빈혈은 심각한 질병의 한 징후일 수 있기 때문입니다. 빈혈의 치료는 철분 보충제를 복용하는 것에서부터 의료시술을 받는 것까지 다양하지만 건강하고 다양한 음식을 섭취함으로써 몇 가지 종류의 빈혈은 미리 예방할 수 있습니다.","시금치, 연근, 파슬리, 연어","녹차, 홍차, 커피"
Whole,고혈압,hypertension,두통,어지러움,코피,,,,,,,,,"고혈압이란 성인의 수축기 혈압이?140mmHg?이상이거나 이완기 혈압이?90mmHg?이상일 때를 말합니다.?고혈압은 우리나라 성인의?30%?이상에서 발견되는 아주 흔한 질환이며,?외국(27%?정도)보다 높은 유병률을 보이고 있습니다.?고혈압은 관상동맥질환과 뇌졸중,?신부전 등 온몸에 걸쳐 다양한 합병증을 일으킵니다.?이 중 상당수는 환자의 생명과 건강을 직접 위협할 정도로 심각한 문제를 발생시킵니다.?그러나 일반적으로 고혈압은 증상이 없으므로 혈압을 측정해 보기 전까지는 진단이 되지 않고,?진단이 되더라도 환자 자신이 치료의 필요성을 느끼지 못하는 경우가 대부분입니다.","과일과 야채, 저지방 유제품, 단백질이 많고 지방이 적은 생선","짠 음식, 포화 지방이 많은 음식, 고 콜레스테롤 음식"
Whole,뇌졸중,stroke,두통,구토,반신마비,실어증,발음장애,안면신경장애,운동실조,,,,,뇌졸중은 뇌혈관의 문제로 인해 뇌에 발생하는 병입니다.?뇌에 산소와 영양분을 공급하는 역할을 하는 뇌혈관이 막히거나 터졌을 때 뇌졸중이 발생합니다.?이 가운데 뇌혈관이 막히는 것을 허혈성 뇌졸중 또는 뇌경색이라고 합니다.?,"채소와 과일, 식초","짠 음식, 인스턴트 식품, 달걀 노른자, 오징어, 마요네즈, 젓갈류"
Whole,정맥부전,venous insufficiency,다리부종,다리가피곤,잦은 쥐,,,,,,,,,"하지정맥에 자주 발생하고 이로 인하여 하지정맥의 혈행이 장애를 받으면 정맥의 노장(怒張), 부종, 색소침착이 생기고 습진, 궤양을 일으키기 쉽게 된다. 이 상태를 정맥부전이라고 한다.",없음,없음
Whole,기면증,narcolepsy,졸도발작,수면마비,주간 수면과다,입면기 환각,각성기 환각,,,,,,,"기면증은 낮 시간에 과도하게 졸립고?REM?수면의 비정상적인 발현, 즉 잠이 들 때(입면,?hypnagogic)나 깰 때(각성) 환각, 수면?마비, 수면 발작 등의 증상을 보이는?신경정신과 질환이다.","키위, 대추, 메밀",없음
Whole,백혈병,leukemia,발열,출혈,어지럼증,두통,호흡곤란,피로,설사,의식저하,,,,"백혈병이란 혈액 세포 중 백혈구에 발생한 암으로서, 비정상적인 백혈구(백혈병 세포)가 과도하게 증식하여 정상적인 백혈구와 적혈구, 혈소판의 생성이 억제된다. 정상적인 백혈구 수가 감소하면?면역저하를 일으켜 세균감염에 의한?패혈증을 일으킬 수 있고, 적혈구의 감소는?빈혈?증상(어지러움,?두통, 호흡곤란)을 가져오며, 혈소판의 감소는?출혈?경향을 일으킨다. 또한, 과다 증식된 백혈병 세포 자체로 인하여 고열,?피로감, 뼈의?통증,?설사, 의식저하, 호흡곤란, 출혈 경향도 일으킬 수 있다. 백혈병 환자는 치료 받지 않을 시, 이러한 증상들에 의해 생명이 위험해 진다.","마늘, 버섯, 양파는 백혈구 수치를 높여준다","날 음식, 건어물, 젓갈류, 무말랭이, 오이피클, 유제품"
Whole,피부암,skin cancer,피부결절,피부궤양,피부반점,,,,,,,,,"피부종양은 악성 종양(피부암)과 양성 종양으로 구분할 수 있습니다.?악성은 아니지만 시간이 지나면 피부암으로 변하는 종양도 있습니다.?최근 오존층 파괴로 인한 자외선 노출 증가,?평균 수명 연장 등으로 피부암의 발생 빈도가 점차 증가하고 있습니다.?피부암은 조기에 치료하면 대부분 완치가 가능합니다.?그러나 치료 시기를 놓치면 신체의 다른 부위로 전이할 수 있으므로 의심되는 병변이 있으면 반드시 피부 조직검사로 확인해야 합니다.",없음,없음
Whole,손발입병,hand foot and mouth disease,미열,손발발진,입안 수포,구강궤양,,,,,,,,"아이들이 바이러스에 감염돼 손(手),?발(足),?입(口)에 물집이 생기는 병으로?‘수족구병’으로 알려져 있습니다.?주로 초여름부터 가을까지 유행합니다.?입안의 혀와 혀 점막에 물집이 생기거나 헐고 손과 발에 물집이 생기므로 대부분 눈으로 쉽게 확인할 수 있습니다.?이따금 손과 발의 물집이 썩 많지 않거나 피부가 불그스레하게만 변하면 모르고 지나치기도 합니다.","차가운 물, 우유, 부드러운 음식","탄산 음료, 과실 음료, 단단한 음식"
Whole,옴,scabies,전신 가려움,물집,고름,,,,,,,,,"옴 진드기(Scabies mite)에 걸려서 생기는 피부병입니다.?환자와 접촉하면 쉽게 전염됩니다.?요즘에는 치료가 가능하지만,?옛날에는 한 번 전염되면 잘 낫지 않으면서 가려움 때문에 환자를 거의 미치게 만들기 때문에?‘재수 옴 붙었다’는 속담까지 낳았습니다.",없음,없음
Whole,패혈증,sepsis,발열,호흡증가,혈압저하,피부 출혈반점,멍,구역,구토,,,,,균이 핏속에서 번식하면서 독소를 만들어 온몸의 장기와 조직을 감염시키는 병입니다.?건강한 사람에게선 세균이 침입하더라도 면역체계의 활동으로 제거되지만 몸이 쇠약한 사람에게선 제거 기능이 제대로 발휘하지 못해 발병합니다.,없음,없음
Whole,당뇨병,diabetes mellitus,폭음,다뇨,폭식,체중감소,,,,,,,,당뇨병은 글자 그대로 풀이하면 오줌(尿)에 설탕성분(糖)이 많아지는 병입니다.??포도당은 인체의 에너지원으로 쓰이는데 적절히 조절되지 않으면 혈액에 넘치게 되고 소변으로도 빠져나갑니다.??당뇨병은 이자(췌장)가 만드는 인슐린 호르몬과 밀접한 관계가 있습니다.?,"체중을 줄이기 위해 저칼로리식으로 먹고, 지방을 적게 먹어야한다(저지방 우유)","인스턴트 식품류, 동물성 육류, 튀김, 짜고 매운 음식, 소금에 절인 식품"
Whole,성조숙증,precocious puberty,조기유방발달,조기음모발달,조기고환크기증가,,,,,,,,,"사춘기는 정상적인 발달 과정에서?2차 성징이 나타나는 것으로 여아에서는 유방 발달로 시작하고 남아에서는 고환 용적의 증가로 시작됩니다.?성조숙증(sexual precocity)이란?2차 성징의 출현이 평균치의?2표준편차보다 빨리 나타나는 경우입니다.?일반적으로 여아는 만?8세,?남아는 만?9세 이전에 나타나는 경우로 정의합니다.","김치, 레몬, 식초, 적당량의 견과류","과다량의 견과류는 여성호르몬 분비의 촉진을 더욱 도우므로 적정량만 먹어야함, 인스턴트 음식"
Whole,영양실조,malnutrition,체중감소,사지근육위축,눈증상,입 점막,,,,,,,,"양실조는 섭취하거나 흡수하는 에너지보다 에너지 소비가 많을 때 생기며 일차적인 원인과 이차적인 원인으로 나눌 수 있다. 일차적인 영양실조는 주로 기근, 전쟁 등으로 식량 공급이 이루어지지 않아 발생하며 후진국에서 보이는 영양실조 형태이다. 이차적인 영양실조는 적절한 영양 공급을 받는 사람이 급성 혹은 만성질환으로 영양 결핍이 생긴 상태를 말하며, 이는 체내 대사과정이 급격히 변하여 발생한다.",영양소를 따져가며 골고루 섭취해야 한고 햇빛을 받아 비타민 D를 축적 시켜야한다.,없음
